# timestamps [seconds],pts
322068.311453,122861
322068.323564,123654
322068.331624,124182
322068.339580,124704
322068.347613,125230
322068.355601,125754
322068.363608,126278
322068.371683,126808
322068.379673,127331
322068.387627,127853
322068.395840,128391
322068.407626,129163
322068.415589,129685
322068.423638,130213
322068.431670,130739
322068.439569,131257
322068.447666,131787
322068.455619,132308
322068.463611,132832
322068.471785,133368
322068.479706,133887
322068.491485,134659
322068.499448,135181
322068.507674,135720
322068.515762,136250
322068.523612,136764
322068.531724,137296
322068.539703,137819
322068.547623,138338
322068.555828,138876
322068.563717,139393
322068.575792,140184
322068.583704,140702
322068.591744,141229
322068.599714,141752
322068.607598,142268
322068.615698,142799
322068.623593,143317
322068.631681,143847
322068.639742,144375
322068.647765,144901
322068.659950,145699
322068.667649,146204
322068.675712,146732
322068.683886,147268
322068.691501,147767
322068.699549,148294
322068.707575,148820
322068.715774,149358
322068.723622,149872
322068.731776,150406
322068.743778,151193
322068.752778,151783
322068.773763,153158
322068.782495,153730
322068.789329,154178
322068.792975,154417
322068.799624,154853
322068.807684,155381
322068.815588,155899
322068.827733,156695
322068.835760,157221
322068.843871,157753
322068.851777,158271
322068.859761,158794
322068.867651,159311
322068.875777,159843
322068.883622,160358
322068.891585,160879
322068.899583,161404
322068.911517,162186
322068.919553,162712
322068.927713,163247
322068.935502,163758
322068.943711,164296
322068.951860,164830
322068.959784,165349
322068.967762,165872
322068.975704,166392
322068.983750,166920
322068.995876,167714
322069.003620,168222
322069.011807,168758
322069.019593,169268
322069.027803,169807
322069.035675,170322
322069.043851,170858
322069.051779,171378
322069.059619,171892
322069.067733,172423
322069.079836,173216
322069.087500,173719
322069.095561,174247
322069.103469,174765
322069.111534,175294
322069.119489,175815
322069.127688,176352
322069.135510,176865
322069.143862,177412
322069.151876,177938
322069.164612,178772
322069.171670,179235
322069.179848,179771
322069.187642,180282
322069.195644,180806
322069.203765,181338
322069.211697,181858
322069.219693,182382
322069.227679,182905
322069.235714,183432
322069.247719,184219
322069.255733,184744
322069.263787,185272
322069.271832,185799
322069.279988,186333
322069.287451,186823
322069.295535,187352
322069.303430,187870
322069.311521,188400
322069.319588,188929
322069.331719,189724
322069.339776,190252
