# timestamps [seconds],pts
322196.985984,595367
322196.991647,595738
322196.999163,596230
322197.007155,596754
322197.019431,597559
322197.027480,598086
322197.035116,598586
322197.043254,599120
322197.051392,599653
322197.059272,600169
322197.067146,600686
322197.075320,601221
322197.083328,601746
322197.091143,602258
322197.103118,603043
322197.111151,603569
322197.119234,604099
322197.127188,604620
322197.135001,605132
322197.143364,605680
322197.151569,606218
322197.159321,606726
322197.167150,607239
322197.175202,607767
322197.187451,608570
322197.195194,609077
322197.203141,609598
322197.211124,610121
322197.219379,610662
322197.227412,611189
322197.235131,611694
322197.243257,612227
322197.251542,612770
322197.259245,613275
322197.271293,614064
322197.279402,614596
322197.287288,615113
322197.295283,615636
322197.303096,616148
322197.311137,616675
322197.319375,617215
322197.327300,617735
322197.335128,618248
322197.343288,618782
322197.355366,619574
322197.363146,620084
322197.371166,620609
322197.379145,621132
322197.387386,621672
322197.395254,622188
322197.403228,622711
322197.411159,623230
322197.419256,623761
322197.427320,624290
322197.439299,625075
322197.447245,625595
322197.455382,626129
322197.463240,626644
322197.471167,627163
322197.479124,627684
322197.487123,628209
322197.495151,628735
322197.503013,629250
322197.511087,629779
322197.523466,630590
322197.531508,631117
322197.539219,631623
322197.547227,632148
322197.555508,632690
322197.563245,633197
322197.571252,633722
322197.579202,634243
322197.587395,634780
322197.595219,635293
322197.607149,636075
322197.615302,636609
322197.623389,637139
322197.631231,637653
322197.639318,638183
322197.647308,638706
322197.655438,639239
322197.663361,639758
322197.671308,640279
322197.679207,640797
322197.691228,641585
322197.699145,642104
322197.707218,642633
322197.715325,643164
322197.723390,643692
322197.731443,644220
322197.739999,644781
322197.756585,645868
322197.763901,646347
322197.775521,647109
322197.783309,647619
322197.791430,648151
322197.800060,648717
322197.812433,649528
322197.819615,649999
322197.825216,650366
322197.831307,650765
322197.839490,651301
322197.847117,651801
322197.859564,652617
322197.867169,653115
322197.875388,653654
322197.883335,654174
322197.891212,654691
322197.899335,655223
322197.907040,655728
322197.915157,656260
322197.923403,656800
322197.931186,657310
322197.943193,658097
322197.951138,658618
322197.959338,659155
322197.967166,659668
322197.975201,660195
322197.983222,660721
322197.991507,661264
322197.999226,661769
322198.007192,662291
322198.015246,662819
322198.027271,663607
322198.035164,664125
322198.043167,664649
322198.051203,665176
322198.059460,665717
322198.067232,666226
322198.075155,666745
322198.083207,667273
322198.091301,667804
322198.099183,668320
322198.111083,669100
322198.119204,669632
322198.127429,670171
322198.135124,670675
322198.143190,671204
322198.151294,671735
322198.159457,672270
322198.167364,672788
322198.175325,673310
322198.183170,673824
322198.195183,674611
322198.203328,675145
322198.211216,675662
322198.219213,676186
322198.227409,676723
322198.235358,677244
322198.243374,677770
322198.251119,678277
322198.259432,678822
322198.267467,679349
322198.279390,680130
322198.287190,680641
322198.295165,681164
322198.303105,681684
322198.311399,682228
322198.319214,682740
322198.327344,683273
322198.335224,683789
322198.343233,684314
322198.351231,684838
322198.363414,685636
322198.371419,686161
322198.379245,686674
322198.387380,687207
322198.395545,687742
322198.403346,688253
322198.411300,688775
322198.419382,689304
322198.427429,689832
322198.435203,690341
322198.447460,691144
322198.455231,691654
322198.463368,692187
322198.471422,692715
322198.479212,693225
322198.487173,693747
322198.495385,694285
322198.503197,694797
322198.511157,695319
322198.519233,695848
322198.531631,696661
322198.539448,697173
322198.547313,697688
322198.555344,698215
322198.564407,698809
322198.571336,699263
322198.579244,699781
322198.587231,700304
322198.595410,700840
322198.603345,701360
322198.615236,702140
322198.623470,702679
322198.631911,703232
322198.639391,703723
322198.647239,704237
322198.655434,704774
322198.663327,705291
322198.671104,705801
322198.679161,706329
322198.687165,706853
