# timestamps [seconds],pts
222597.162045,276437
222597.169899,276952
222597.178126,277491
222597.186526,278042
222597.193959,278529
222597.201923,279051
222597.209969,279578
222597.217861,280095
222597.226148,280638
222597.237872,281407
222597.246117,281947
222597.253955,282461
222597.263381,283078
222597.270133,283521
222597.278118,284044
222597.286037,284563
222597.293842,285075
222597.301894,285602
222597.310181,286145
222597.321871,286912
222597.330851,287500
222597.337910,287963
222597.345853,288483
222597.353914,289011
222597.362063,289545
222597.369820,290054
222597.377886,290582
222597.385891,291107
222597.393901,291632
222597.405872,292417
222597.413983,292948
222597.421966,293471
222597.429961,293995
222597.437859,294513
222597.445955,295043
222597.453743,295554
222597.461807,296082
222597.470056,296623
222597.477963,297141
222597.489980,297929
222597.497942,298450
222597.505917,298973
222597.514029,299505
222597.521970,300025
222597.530856,300607
222597.537931,301071
222597.545918,301594
222597.553919,302119
222597.562013,302649
222597.573838,303424
222597.583137,304034
222597.589947,304480
222597.598599,305047
222597.606137,305541
222597.614909,306116
222597.621854,306571
222597.630236,307120
222597.637789,307615
222597.645909,308147
222597.658060,308944
222597.666797,309516
222597.673956,309985
222597.681898,310506
222597.689820,311025
222597.698102,311568
222597.705830,312074
222597.715178,312687
222597.722061,313138
222597.730196,313671
222597.742046,314448
222597.751786,315086
222597.758117,315501
222597.766112,316025
222597.773923,316537
222597.782432,317094
222597.789979,317589
222597.798878,318172
222597.805962,318636
222597.813895,319156
222597.826015,319951
222597.833995,320474
222597.841883,320990
222597.850867,321579
222597.857977,322045
222597.866770,322621
222597.873982,323094
222597.881991,323619
222597.890054,324147
222597.898828,324722
222597.909895,325448
222597.917990,325978
222597.926039,326506
222597.934633,327069
222597.942183,327564
222597.949955,328073
222597.957946,328597
222597.966041,329127
222597.973908,329643
222597.982708,330219
222597.994024,330961
222598.001978,331482
222598.009921,332003
222598.018077,332537
222598.025938,333053
222598.034872,333638
222598.041887,334098
222598.050039,334632
222598.057899,335147
222598.066097,335684
222598.073960,336200
222598.085931,336984
222598.094039,337516
222598.101799,338024
222598.110097,338568
222598.119510,339185
222598.126082,339615
222598.134775,340185
222598.141931,340654
222598.151156,341259
222598.157942,341703
222598.169981,342492
222598.178057,343022
222598.187527,343642
222598.193914,344061
222598.202656,344634
222598.209807,345102
222598.218026,345641
222598.225872,346155
222598.234032,346690
222598.242094,347218
222598.254046,348002
222598.261899,348516
222598.271031,349115
222598.278017,349573
222598.286498,350128
222598.293915,350614
222598.301844,351134
222598.310067,351673
222598.318150,352203
222598.329914,352974
222598.338046,353507
222598.346228,354043
222598.353907,354546
222598.361965,355074
222598.369985,355600
222598.377991,356124
222598.386009,356650
222598.393984,357172
222598.401933,357693
222598.413933,358480
222598.421929,359004
222598.429933,359528
222598.438101,360064
222598.445954,360578
222598.453942,361102
222598.461783,361616
222598.469964,362152
222598.478053,362682
222598.486105,363210
222598.493777,363712
222598.505946,364510
222598.513931,365033
222598.521996,365562
222598.529998,366086
222598.539223,366691
222598.545927,367130
222598.553977,367658
222598.561869,368175
222598.570982,368772
222598.577991,369231
222598.589878,370010
222598.597987,370542
222598.605908,371061
222598.613855,371582
222598.623751,372230
222598.629772,372625
222598.638682,373209
222598.645962,373686
222598.654987,374277
222598.661957,374734
222598.674130,375532
222598.681860,376038
222598.690044,376575
222598.697926,377091
222598.706060,377624
222598.713834,378134
222598.722468,378700
222598.730067,379198
222598.738070,379722
222598.745832,380231
222598.757942,381024
222598.766085,381558
222598.774026,382078
222598.782093,382607
222598.789987,383124
222598.797899,383643
222598.805927,384169
222598.813915,384693
222598.822700,385268
222598.829795,385733
222598.841968,386531
222598.850046,387060
222598.857799,387569
222598.865925,388101
222598.874156,388641
222598.881899,389148
222598.889967,389677
222598.897784,390189
222598.905937,390723
222598.913857,391242
222598.925875,392030
222598.933924,392557
222598.942010,393087
222598.949878,393603
222598.957842,394125
222598.966028,394661
222598.975392,395275
222598.981982,395707
222598.990612,396272
222598.997967,396754
222599.010044,397546
222599.017969,398065
222599.025933,398587
222599.033833,399105
222599.042105,399647
222599.049889,400157
222599.057837,400678
222599.065979,401212
222599.075153,401813
222599.081955,402259
222599.093904,403042
222599.101993,403572
222599.110155,404107
222599.117828,404610
222599.125909,405139
222599.134058,405673
222599.141913,406188
222599.149923,406713
222599.159654,407351
222599.165993,407766
222599.178051,408556
222599.186050,409080
222599.193895,409595
222599.201843,410115
222599.209977,410649
222599.218053,411178
