# timestamps [seconds],pts
10097.907060,636870
10097.918867,637643
10097.927147,638186
10097.935039,638703
10097.943129,639233
10097.950857,639740
10097.958912,640268
10097.966819,640786
10097.974934,641318
10097.982969,641844
10097.991387,642396
10098.002997,643157
10098.011065,643686
10098.019327,644227
10098.027023,644731
10098.035013,645255
10098.043098,645785
10098.050990,646302
10098.059001,646827
10098.067015,647352
10098.075430,647904
10098.086976,648660
10098.095119,649194
10098.103072,649715
10098.111005,650235
10098.118835,650748
10098.127098,651290
10098.135040,651810
10098.143130,652341
10098.151059,652860
10098.159067,653385
10098.170969,654165
10098.179134,654700
10098.186929,655211
10098.195023,655741
10098.202892,656257
10098.211115,656796
10098.219342,657335
10098.227083,657842
10098.235104,658368
10098.243010,658886
10098.255165,659683
10098.263079,660201
10098.270999,660720
10098.278947,661241
10098.287005,661769
10098.295000,662293
10098.303095,662824
10098.311396,663368
10098.318898,663859
10098.327044,664393
10098.339057,665181
10098.346882,665693
10098.354902,666219
10098.362954,666747
10098.370792,667260
10098.378899,667792
10098.387317,668343
10098.395230,668862
10098.402933,669367
10098.411006,669896
10098.423296,670701
10098.431154,671216
10098.438925,671725
10098.447145,672264
10098.455060,672783
10098.463050,673306
10098.471206,673841
10098.479003,674352
10098.487076,674881
10098.495278,675419
10098.507071,676191
10098.514968,676709
10098.522808,677223
10098.530905,677753
10098.539277,678302
10098.546933,678804
10098.554938,679328
10098.562897,679850
10098.570913,680375
10098.578949,680902
10098.591144,681701
10098.599142,682225
10098.607025,682742
10098.615029,683266
10098.622935,683785
10098.631069,684318
10098.639032,684839
10098.646941,685358
10098.655102,685893
10098.663087,686416
10098.675026,687198
10098.683255,687738
10098.691232,688260
10098.699150,688779
10098.707231,689309
10098.715113,689825
10098.722866,690334
10098.730930,690862
10098.739212,691405
10098.746874,691907
10098.759050,692705
10098.766965,693224
10098.774956,693747
10098.783164,694285
10098.791121,694807
10098.799259,695340
10098.807083,695853
10098.815040,696374
10098.823242,696912
10098.831210,697434
10098.843131,698215
10098.850994,698730
10098.859267,699273
10098.867079,699785
10098.875148,700313
10098.883096,700834
10098.891124,701360
10098.899135,701885
10098.907072,702405
10098.915038,702928
10098.927117,703719
10098.935354,704259
10098.943396,704786
10098.950867,705276
10098.959089,705814
10098.966937,706329
10098.975142,706866
10098.983124,707390
10098.991127,707914
10099.000122,708504
10099.011416,709244
10099.019048,709744
10099.027264,710282
10099.035105,710796
10099.042971,711312
10099.050970,711836
10099.058883,712354
10099.066919,712881
10099.074984,713410
10099.083147,713945
10099.095032,714723
10099.103141,715255
10099.111142,715779
10099.118878,716286
10099.127054,716822
10099.135241,717359
10099.143159,717877
10099.150847,718381
10099.159172,718927
10099.166847,719430
10099.179166,720237
10099.186994,720750
10099.194989,721274
10099.203075,721804
10099.210978,722322
10099.218943,722844
10099.226979,723371
10099.235218,723911
10099.243148,724430
10099.251157,724955
10099.263350,725754
10099.271160,726266
10099.278984,726779
10099.287209,727318
10099.294963,727826
10099.303181,728364
10099.311235,728892
10099.318862,729392
10099.327237,729941
10099.335147,730459
10099.347022,731238
10099.355070,731765
10099.362898,732278
10099.371031,732811
10099.378949,733330
10099.387154,733868
10099.395002,734382
10099.403035,734908
10099.410993,735430
10099.419221,735969
10099.431008,736742
10099.439110,737273
10099.447023,737791
10099.455200,738327
10099.462982,738837
10099.471121,739370
10099.478975,739885
10099.487122,740419
10099.495008,740936
10099.503084,741465
10099.514980,742245
10099.522817,742758
10099.530883,743287
10099.539128,743827
10099.546923,744338
10099.554848,744857
10099.562822,745380
10099.570901,745910
10099.578944,746437
10099.586999,746964
10099.599137,747760
10099.607034,748277
10099.615102,748806
10099.623047,749327
10099.631183,749860
10099.639022,750374
10099.646925,750892
10099.655014,751422
10099.662951,751942
10099.671364,752493
10099.683102,753263
10099.691005,753781
10099.698981,754303
10099.707078,754834
10099.716075,755423
10099.722978,755876
10099.730903,756395
10099.739015,756927
10099.746966,757448
10099.754858,757965
10099.766940,758757
10099.774950,759282
10099.782905,759803
10099.790981,760332
10099.798938,760854
10099.807008,761383
10099.815014,761907
10099.823028,762433
10099.831143,762964
10099.839041,763482
10099.851197,764279
10099.858901,764784
10099.867158,765325
10099.875267,765856
10099.883018,766364
10099.891354,766910
10099.899085,767417
10099.907070,767940
10099.915191,768473
10099.922902,768978
10099.935038,769773
10099.942927,770290
10099.950869,770811
10099.959018,771345
10099.966859,771859
10099.974995,772392
10099.982907,772910
10099.991092,773447
10099.999023,773966
10100.007192,774502
10100.019324,775297
10100.027210,775814
10100.035184,776336
10100.043093,776855
10100.051074,777378
10100.059061,777901
10100.067029,778423
10100.075280,778964
10100.083102,779477
10100.091123,780002
10100.103331,780802
10100.111009,781305
10100.118846,781819
10100.127013,782354
10100.135001,782878
10100.143069,783407
